year,source,target,cumulative_volume_af,transmission_kwh/af
2010,1806077NPD,1806077E,0.5,195.72
2010,1806077PD,1806077E,2405.67,163.1
2010,1806079NPD,1806079E,798.5,195.72
2010,1806079PD,1806079E,6240.0,163.1
2010,1807001PD,1807001E,10423.0,163.1
2010,1807003PD,1807003E,62520.0,163.1
2010,1807005PD,1807005E,15798.0,163.1
2010,1807007PD,1807007E,21532.0,163.1
2010,1807009PD,1807009E,10829.05,163.1
2010,1807013NPD,1807013E,49.5,195.72
2010,1807013PD,1807013E,5269.0,163.1
2010,1807015PD,1807015E,10227.36,163.1
2010,1807019PD,1807019E,1986.39,163.1
2010,1807021PD,1807021E,9713.0,163.1
2010,1807023NPD,1807023E,315.0,195.72
2010,1807023PD,1807023E,17328.0,163.1
2010,1807025NPD,1807025E,1005.0,195.72
2010,1807025PD,1807025E,15459.03,163.1
2010,1807029NPD,1807029E,3928.0,195.72
2010,1807029PD,1807029E,28353.6,291.0
2010,1807031PD,1807031E,16103.68,345.0
2010,1807032NPD,1807032E,134.0,195.72
2010,1807032PD,1807032E,11639.08,326.0
2010,1807033PD,1807033E,18129.8,2455.0
2010,1807034NPD,1807034E,209.5,195.72
2010,1807034PD,1807034E,7118.83,502.0
2010,1807035PD,1807035E,18686.4,163.1
2010,1807037PD,1807037E,10650.45,163.1
2010,1807039PD,1807039E,14738.18,163.1
2010,1807041IMP,1807045E,1253.0,25.0
2010,1807041NPD,1807041E,3050.5,195.72
2010,1807041PD,1807041E,78125.6,163.1
2010,1807043PD,1807043E,7856.15,163.1
2010,1807045NPD,1807045E,761.0,195.72
2010,1807045PD,1807045E,7695.01,163.1
2010,1807047PD,1807047E,14229.6,163.1
2010,1807049PD,1807049E,3126.0,163.1
2010,1807053PD,1807053E,27417.65,163.1
2010,1807055NPD,1807055E,4317.0,195.72
2010,1807055PD,1807055E,194964.02,163.1
2010,1807057NPD,1807057E,1870.0,195.72
2010,1807057PD,1807057E,6048.0,163.1
2010,1807059NPD,1807059E,8393.0,195.72
2010,1807059PD,1807059E,13435.21,163.1
2010,1807063NPD,1807063E,1494.0,195.72
2010,1807063PD,1807063E,13316.3,163.1
2010,1807065PD,1807065E,10350.0,163.1
2010,1807067PD,1807067E,7053.91,163.1
2010,1807069NPD,1807069E,1654.0,195.72
2010,1807069PD,1807069E,32645.0,279.6030541
2010,1807075PD,1807075E,4422.0,163.1
2010,1807079NPD,1807079E,1231.0,195.72
2010,1807079PD,1807079E,46481.66,163.1
2010,1807081NPD,1807081E,742.0,195.72
2010,1807081PD,1807081E,14588.1,163.1
2010,1807085PD,1807085E,20904.24,163.1
2010,1807087NPD,1807087E,24698.0,195.72
2010,1807087PD,1807087E,19244.0,163.1
2010,1807089PD,1807089E,2254.84,163.1
2010,1807093NPD,1807093E,225.0,195.72
2010,1807093PD,1807093E,9400.0,163.1
2010,1807095NPD,1807095E,8850.0,382.0418395
2010,1807095PD,1807095E,9619.5,163.1
2010,1807097NPD,1807097E,3692.0,195.72
2010,1807097PD,1807097E,17012.25,163.1
2010,1807099NPD,1807099E,185.0,195.72
2010,1807099PD,1807099E,5996.07,163.1
2010,1807103NPD,1807103E,52.0,195.72
2010,1807103PD,1807103E,3531.5,163.1
2010,1807105NPD,1807105E,750.0,195.72
2010,1807105PD,1807105E,9115.0,163.1
2010,1807109PD,1807109E,25909.8,163.1
2010,1807111PD,1807111E,28504.08,163.1
2010,1807113NPD,1807113E,831.0,195.72
2010,1807113PD,1807113E,26338.0,163.1
2010,1807117NPD,1807117E,28.0,195.72
2010,1807117PD,1807117E,5334.72,22.63165377
2010,1807119NPD,1807119E,130.0,195.72
2010,1807119PD,1807119E,4941.9,13.77183775
2010,1807121PD,1807121E,9664.2,108.0
2010,1807123PD,1807123E,2378.01,163.1
2010,1807125PD,1807125E,5017.68,163.1
2010,1807127PD,1807127E,4749.96,163.1
2010,1807129NPD,1807129E,274.0,195.72
2010,1807129PD,1807129E,4473.55,77.77935867
2010,1807131PD,1807131E,1765.28,90.0
2010,1807133PD,1807133E,6694.58,68.0
2010,1807135PD,1807135E,3361.05,163.1
2010,1807137PD,1807137E,2555.5,163.1
2010,1807139PD,1807139E,10967.32,145.85958390000002
2010,1807141PD,1807141E,6122.22,167.0
2010,1807143NPD,1807143E,219.0,195.72
2010,1807143PD,1807143E,27590.31,76.14377591
2010,1807145PD,1807145E,13758.3,68.0
2010,1807147NPD,1807147E,84.0,195.72
2010,1807147PD,1807147E,3855.78,163.1
2010,1807149PD,1807149E,31550.45,163.1
2010,1807151PD,1807151E,3434.4,163.1
2010,1807153PD,1807153E,27110.56,163.1
2010,1807155NPD,1807155E,51.0,195.72
2010,1807155PD,1807155E,4502.13,163.1
2010,1807159NPD,1807159E,341.5,195.72
2010,1807159PD,1807159E,9868.78,163.1
2010,1807161PD,1807161E,60616.0,163.1
2010,1807161SW,1807161E,19505.0,163.1
2010,1807163NPD,1807163E,15172.42,191.1945195
2010,1807163PD,1807163E,65047.86,163.1
2010,1807163SW,1807163E,2160.0,163.1
2010,1807165PD,1807165E,20820.8,163.1
2010,1807169PD,1807169E,9803.0,163.1
